C:\Users\Daniel\.jdks\openjdk-19.0.1\bin\java.exe -ea -Didea.test.cyclic.buffer.size=1048576 "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2020.3.2\lib\idea_rt.jar=63276:C:\Program Files\JetBrains\IntelliJ IDEA 2020.3.2\bin" -Dfile.encoding=UTF-8 -Dsun.stdout.encoding=UTF-8 -Dsun.stderr.encoding=UTF-8 -classpath "C:\Users\Daniel\.m2\repository\org\junit\platform\junit-platform-launcher\1.9.3\junit-platform-launcher-1.9.3.jar;C:\Program Files\JetBrains\IntelliJ IDEA 2020.3.2\lib\idea_rt.jar;C:\Program Files\JetBrains\IntelliJ IDEA 2020.3.2\plugins\junit\lib\junit5-rt.jar;C:\Program Files\JetBrains\IntelliJ IDEA 2020.3.2\plugins\junit\lib\junit-rt.jar;C:\Users\Daniel\OneDrive - Johannes Kepler Universität Linz\Uni Informatik\8_Semester\Software Testing\Assignment_05\software-testing\RingBufferExample05\target\test-classes;C:\Users\Daniel\OneDrive - Johannes Kepler Universität Linz\Uni Informatik\8_Semester\Software Testing\Assignment_05\software-testing\RingBufferExample05\target\classes;C:\Users\Daniel\.m2\repository\org\junit\jupiter\junit-jupiter-engine\5.9.3\junit-jupiter-engine-5.9.3.jar;C:\Users\Daniel\.m2\repository\org\junit\platform\junit-platform-engine\1.9.3\junit-platform-engine-1.9.3.jar;C:\Users\Daniel\.m2\repository\org\apiguardian\apiguardian-api\1.1.2\apiguardian-api-1.1.2.jar;C:\Users\Daniel\.m2\repository\org\junit\jupiter\junit-jupiter-api\5.9.3\junit-jupiter-api-5.9.3.jar;C:\Users\Daniel\.m2\repository\org\opentest4j\opentest4j\1.2.0\opentest4j-1.2.0.jar;C:\Users\Daniel\.m2\repository\org\junit\platform\junit-platform-commons\1.9.3\junit-platform-commons-1.9.3.jar;C:\Users\Daniel\.m2\repository\org\junit\jupiter\junit-jupiter-params\5.9.3\junit-jupiter-params-5.9.3.jar;C:\Users\Daniel\.m2\repository\nz\ac\waikato\modeljunit\modeljunit\2.5\modeljunit-2.5.jar;C:\Users\Daniel\.m2\repository\asm\asm\3.1\asm-3.1.jar;C:\Users\Daniel\.m2\repository\net\sf\jung\jung-algorithms\2.0.1\jung-algorithms-2.0.1.jar;C:\Users\Daniel\.m2\repository\net\sourceforge\collections\collections-generic\4.01\collections-generic-4.01.jar;C:\Users\Daniel\.m2\repository\colt\colt\1.2.0\colt-1.2.0.jar;C:\Users\Daniel\.m2\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar;C:\Users\Daniel\.m2\repository\net\sf\jung\jung-api\2.0.1\jung-api-2.0.1.jar;C:\Users\Daniel\.m2\repository\net\sf\jung\jung-graph-impl\2.0.1\jung-graph-impl-2.0.1.jar;C:\Users\Daniel\.m2\repository\net\sf\jung\jung-io\2.0.1\jung-io-2.0.1.jar;C:\Users\Daniel\.m2\repository\org\codehaus\woodstox\wstx-asl\3.2.6\wstx-asl-3.2.6.jar;C:\Users\Daniel\.m2\repository\stax\stax-api\1.0.1\stax-api-1.0.1.jar;C:\Users\Daniel\.m2\repository\net\sf\jung\jung-jai\2.0.1\jung-jai-2.0.1.jar;C:\Users\Daniel\.m2\repository\net\sf\jung\jung-visualization\2.0.1\jung-visualization-2.0.1.jar;C:\Users\Daniel\.m2\repository\junit\junit\4.4\junit-4.4.jar;C:\Users\Daniel\.m2\repository\org\uispec4j\uispec4j\2.4\uispec4j-2.4-jdk16.jar" com.intellij.rt.junit.JUnitStarter -ideVersion5 -junit5 at.jku.swtesting.RingBufferModelTest,randomTestWithModel
done (EMPTY, enqueue, FILLED)
done (FILLED, peek, FILLED)
done Random reset(true)
done (EMPTY, enqueue, FILLED)
done (FILLED, peek, FILLED)
done (FILLED, dequeue, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, enqueue, FILLED)
done (FILLED, peek, FILLED)
done (FILLED, dequeue, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, enqueue, FILLED)
done (FILLED, dequeue, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, enqueue, FILLED)
done (FILLED, dequeue, EMPTY)
done (EMPTY, enqueue, FILLED)
done (FILLED, peek, FILLED)
done (FILLED, peek, FILLED)
done (FILLED, peek, FILLED)
done (FILLED, dequeue, EMPTY)
done (EMPTY, enqueue, FILLED)
done (FILLED, peek, FILLED)
done (FILLED, dequeue, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, enqueue, FILLED)
done Random reset(true)
done (EMPTY, enqueue, FILLED)
done (FILLED, peek, FILLED)
done (FILLED, dequeue, EMPTY)
done (EMPTY, enqueue, FILLED)
done (FILLED, peek, FILLED)
done (FILLED, peek, FILLED)
done (FILLED, peek, FILLED)
done Random reset(true)
done (EMPTY, enqueue, FILLED)
done (FILLED, enqueue, FILLED)
done (FILLED, enqueue, FULL)
done (FULL, dequeue, FILLED)
done (FILLED, enqueue, FULL)
done (FULL, enqueue, FULL)
done (FULL, dequeue, FILLED)
done (FILLED, dequeue, FILLED)
done (FILLED, dequeue, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, enqueue, FILLED)
done (FILLED, dequeue, EMPTY)
done (EMPTY, enqueue, FILLED)
done (FILLED, peek, FILLED)
done (FILLED, peek, FILLED)
done (FILLED, dequeue, EMPTY)
done (EMPTY, enqueue, FILLED)
done (FILLED, enqueue, FILLED)
done (FILLED, peek, FILLED)
done Random reset(true)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, enqueue, FILLED)
done (FILLED, enqueue, FILLED)
done Random reset(true)
done (EMPTY, enqueue, FILLED)
done (FILLED, enqueue, FILLED)
done (FILLED, enqueue, FULL)
done (FULL, peek, FULL)
done (FULL, peek, FULL)
done (FULL, peek, FULL)
done (FULL, enqueue, FULL)
done (FULL, dequeue, FILLED)
done (FILLED, enqueue, FULL)
done (FULL, peek, FULL)
done (FULL, dequeue, FILLED)
done (FILLED, dequeue, FILLED)
done (FILLED, dequeue, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, enqueue, FILLED)
done (FILLED, dequeue, EMPTY)
done (EMPTY, enqueue, FILLED)
done (FILLED, dequeue, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, dequeueFromEmptyBuffer, EMPTY)
done (EMPTY, enqueue, FILLED)
done (FILLED, peek, FILLED)
done (FILLED, peek, FILLED)
done (FILLED, dequeue, EMPTY)
